.draw,.chain,.iteration,K,D,N,category,state,time,outcome,population,exposure_code,ypred,mu,mu_treated,banned_state,start_date,end_date,placebo_date
1,1,1,0,0,0,total,AK,2016-01-01,3531,300066.0,0,3431,8.145342,8.145342,0,2016-01-01,2016-02-29,2018-03-01
1,1,1,0,0,1,total,AK,2016-03-01,3735,300066.0,0,3696,8.212609,8.212609,0,2016-03-01,2016-04-30,2018-03-01
1,1,1,0,0,2,total,AK,2016-05-01,3823,300066.0,0,3717,8.230566,8.230566,0,2016-05-01,2016-06-30,2018-03-01
1,1,1,0,0,3,total,AK,2016-07-01,3782,300066.0,0,3860,8.263832,8.263832,0,2016-07-01,2016-08-31,2018-03-01
1,1,1,0,0,4,total,AK,2016-09-01,3774,300066.0,0,3804,8.22636,8.22636,0,2016-09-01,2016-10-31,2018-03-01
1,1,1,0,0,5,total,AK,2016-11-01,3549,300066.0,0,3485,8.162819,8.162819,0,2016-11-01,2016-12-31,2018-03-01
1,1,1,0,0,6,total,AK,2017-01-01,3121,298346.0,0,3169,8.092328,8.092328,0,2017-01-01,2017-02-28,2018-03-01
1,1,1,0,0,7,total,AK,2017-03-01,3503,298346.0,0,3405,8.151932,8.151932,0,2017-03-01,2017-04-30,2018-03-01
1,1,1,0,0,8,total,AK,2017-05-01,3554,298346.0,0,3649,8.200972,8.200972,0,2017-05-01,2017-06-30,2018-03-01
1,1,1,0,0,9,total,AK,2017-07-01,3630,298346.0,0,3812,8.217546,8.217546,0,2017-07-01,2017-08-31,2018-03-01
1,1,1,0,0,10,total,AK,2017-09-01,3566,298346.0,0,3566,8.180142,8.180142,0,2017-09-01,2017-10-31,2018-03-01
1,1,1,0,0,11,total,AK,2017-11-01,3291,298346.0,0,3331,8.123867,8.123867,0,2017-11-01,2017-12-31,2018-03-01
1,1,1,0,0,12,total,AK,2018-01-01,3146,296672.0,0,3165,8.058285,8.058285,0,2018-01-01,2018-02-28,2018-03-01
1,1,1,0,0,13,total,AK,2018-03-01,3445,296672.0,0,3394,8.112521,8.112521,0,2018-03-01,2018-04-30,2018-03-01
1,1,1,0,0,14,total,AK,2018-05-01,3467,296672.0,0,3383,8.137933,8.137933,0,2018-05-01,2018-06-30,2018-03-01
1,1,1,0,0,15,total,AK,2018-07-01,3469,296672.0,0,3513,8.175677,8.175677,0,2018-07-01,2018-08-31,2018-03-01
1,1,1,0,0,16,total,AK,2018-09-01,3315,296672.0,0,3364,8.127228,8.127228,0,2018-09-01,2018-10-31,2018-03-01
1,1,1,0,0,17,total,AK,2018-11-01,3157,296672.0,0,3161,8.073274,8.073274,0,2018-11-01,2018-12-31,2018-03-01
1,1,1,0,0,18,total,AK,2019-01-01,3012,284728.0,0,2958,7.9968557,7.9968557,0,2019-01-01,2019-02-28,2018-03-01
1,1,1,0,1,0,total,AL,2016-01-01,19013,1904452.0,0,18813,9.861063,9.861063,1,2016-01-01,2016-02-29,2018-03-01
1,1,1,0,1,1,total,AL,2016-03-01,18663,1904452.0,0,19243,9.848801,9.848801,1,2016-03-01,2016-04-30,2018-03-01
1,1,1,0,1,2,total,AL,2016-05-01,19655,1904452.0,0,19556,9.872229,9.872229,1,2016-05-01,2016-06-30,2018-03-01
1,1,1,0,1,3,total,AL,2016-07-01,20704,1904452.0,0,20673,9.94039,9.94039,1,2016-07-01,2016-08-31,2018-03-01
1,1,1,0,1,4,total,AL,2016-09-01,20405,1904452.0,0,20949,9.932745,9.932745,1,2016-09-01,2016-10-31,2018-03-01
1,1,1,0,1,5,total,AL,2016-11-01,19664,1904452.0,0,19943,9.901793,9.901793,1,2016-11-01,2016-12-31,2018-03-01
1,1,1,0,1,6,total,AL,2017-01-01,18837,1912072.0,0,18903,9.843079,9.843079,1,2017-01-01,2017-02-28,2018-03-01
1,1,1,0,1,7,total,AL,2017-03-01,18340,1912072.0,0,18542,9.826878,9.826878,1,2017-03-01,2017-04-30,2018-03-01
1,1,1,0,1,8,total,AL,2017-05-01,19133,1912072.0,0,18995,9.860722,9.860722,1,2017-05-01,2017-06-30,2018-03-01
1,1,1,0,1,9,total,AL,2017-07-01,21143,1912072.0,0,21230,9.957557,9.957557,1,2017-07-01,2017-08-31,2018-03-01
1,1,1,0,1,10,total,AL,2017-09-01,20502,1912072.0,0,20666,9.931557,9.931557,1,2017-09-01,2017-10-31,2018-03-01
1,1,1,0,1,11,total,AL,2017-11-01,19698,1912072.0,0,19846,9.8921795,9.8921795,1,2017-11-01,2017-12-31,2018-03-01
1,1,1,0,1,12,total,AL,2018-01-01,18441,1905472.0,0,18186,9.83349,9.83349,1,2018-01-01,2018-02-28,2018-03-01
1,1,1,0,1,13,total,AL,2018-03-01,18243,1905472.0,1,18702,9.836494,9.829279,1,2018-03-01,2018-04-30,2018-03-01
1,1,1,0,1,14,total,AL,2018-05-01,19080,1905472.0,1,19336,9.864777,9.855617,1,2018-05-01,2018-06-30,2018-03-01
1,1,1,0,1,15,total,AL,2018-07-01,20390,1905472.0,1,20483,9.927982,9.914562,1,2018-07-01,2018-08-31,2018-03-01
1,1,1,0,1,16,total,AL,2018-09-01,19604,1905472.0,1,20265,9.91184,9.902327,1,2018-09-01,2018-10-31,2018-03-01
1,1,1,0,1,17,total,AL,2018-11-01,19524,1905472.0,1,19511,9.89333,9.887096,1,2018-11-01,2018-12-31,2018-03-01
1,1,1,0,1,18,total,AL,2019-01-01,18818,1910940.0,1,18925,9.84389,9.835141,1,2019-01-01,2019-02-28,2018-03-01
1,1,1,0,2,0,total,AR,2016-01-01,12063,1153138.0,0,12267,9.395636,9.395636,1,2016-01-01,2016-02-29,2018-03-01
1,1,1,0,2,1,total,AR,2016-03-01,12239,1153138.0,0,12120,9.411068,9.411068,1,2016-03-01,2016-04-30,2018-03-01
1,1,1,0,2,2,total,AR,2016-05-01,12474,1153138.0,0,12576,9.442726,9.442726,1,2016-05-01,2016-06-30,2018-03-01
1,1,1,0,2,3,total,AR,2016-07-01,13783,1153138.0,0,13663,9.523126,9.523126,1,2016-07-01,2016-08-31,2018-03-01
1,1,1,0,2,4,total,AR,2016-09-01,12844,1153138.0,0,13142,9.482593,9.482593,1,2016-09-01,2016-10-31,2018-03-01
1,1,1,0,2,5,total,AR,2016-11-01,12655,1153138.0,0,12660,9.431418,9.431418,1,2016-11-01,2016-12-31,2018-03-01
1,1,1,0,2,6,total,AR,2017-01-01,11821,1153784.0,0,11361,9.35471,9.35471,1,2017-01-01,2017-02-28,2018-03-01
1,1,1,0,2,7,total,AR,2017-03-01,11576,1153784.0,0,11515,9.371961,9.371961,1,2017-03-01,2017-04-30,2018-03-01
1,1,1,0,2,8,total,AR,2017-05-01,12160,1153784.0,0,12360,9.426662,9.426662,1,2017-05-01,2017-06-30,2018-03-01
1,1,1,0,2,9,total,AR,2017-07-01,13769,1153784.0,0,13476,9.508888,9.508888,1,2017-07-01,2017-08-31,2018-03-01
1,1,1,0,2,10,total,AR,2017-09-01,12707,1153784.0,0,12946,9.473227,9.473227,1,2017-09-01,2017-10-31,2018-03-01
1,1,1,0,2,11,total,AR,2017-11-01,12479,1153784.0,0,12300,9.417727,9.417727,1,2017-11-01,2017-12-31,2018-03-01
1,1,1,0,2,12,total,AR,2018-01-01,11720,1169472.0,0,11914,9.379749,9.379749,1,2018-01-01,2018-02-28,2018-03-01
1,1,1,0,2,13,total,AR,2018-03-01,11697,1169472.0,1,11907,9.387112,9.359717,1,2018-03-01,2018-04-30,2018-03-01
1,1,1,0,2,14,total,AR,2018-05-01,12213,1169472.0,1,12557,9.439812,9.409189,1,2018-05-01,2018-06-30,2018-03-01
1,1,1,0,2,15,total,AR,2018-07-01,13107,1169472.0,1,13624,9.513451,9.4858,1,2018-07-01,2018-08-31,2018-03-01
1,1,1,0,2,16,total,AR,2018-09-01,12562,1169472.0,1,12898,9.473192,9.442376,1,2018-09-01,2018-10-31,2018-03-01
