unit,group,outcome,treatment,denominator,banned_state,year,month,time,start_date,end_date,placebo_date
AK,total,3531,0,300066.0,0,2016,1,2016-01-01,2016-01-01,2016-02-29,2018-03-01
AK,total,3735,0,300066.0,0,2016,3,2016-03-01,2016-03-01,2016-04-30,2018-03-01
AK,total,3823,0,300066.0,0,2016,5,2016-05-01,2016-05-01,2016-06-30,2018-03-01
AK,total,3782,0,300066.0,0,2016,7,2016-07-01,2016-07-01,2016-08-31,2018-03-01
AK,total,3774,0,300066.0,0,2016,9,2016-09-01,2016-09-01,2016-10-31,2018-03-01
AK,total,3549,0,300066.0,0,2016,11,2016-11-01,2016-11-01,2016-12-31,2018-03-01
AK,total,3121,0,298346.0,0,2017,1,2017-01-01,2017-01-01,2017-02-28,2018-03-01
AK,total,3503,0,298346.0,0,2017,3,2017-03-01,2017-03-01,2017-04-30,2018-03-01
AK,total,3554,0,298346.0,0,2017,5,2017-05-01,2017-05-01,2017-06-30,2018-03-01
AK,total,3630,0,298346.0,0,2017,7,2017-07-01,2017-07-01,2017-08-31,2018-03-01
AK,total,3566,0,298346.0,0,2017,9,2017-09-01,2017-09-01,2017-10-31,2018-03-01
AK,total,3291,0,298346.0,0,2017,11,2017-11-01,2017-11-01,2017-12-31,2018-03-01
AK,total,3146,0,296672.0,0,2018,1,2018-01-01,2018-01-01,2018-02-28,2018-03-01
AK,total,3445,0,296672.0,0,2018,3,2018-03-01,2018-03-01,2018-04-30,2018-03-01
AK,total,3467,0,296672.0,0,2018,5,2018-05-01,2018-05-01,2018-06-30,2018-03-01
AK,total,3469,0,296672.0,0,2018,7,2018-07-01,2018-07-01,2018-08-31,2018-03-01
AK,total,3315,0,296672.0,0,2018,9,2018-09-01,2018-09-01,2018-10-31,2018-03-01
AK,total,3157,0,296672.0,0,2018,11,2018-11-01,2018-11-01,2018-12-31,2018-03-01
AK,total,3012,0,284728.0,0,2019,1,2019-01-01,2019-01-01,2019-02-28,2018-03-01
AL,total,19013,0,1904452.0,1,2016,1,2016-01-01,2016-01-01,2016-02-29,2018-03-01
AL,total,18663,0,1904452.0,1,2016,3,2016-03-01,2016-03-01,2016-04-30,2018-03-01
