unit,group,outcome,treatment,denominator,banned_state,year,month,time,start_date,end_date,analysis_type
AK,total,3531,0,300066.0,0,2016,1,2016-01-01,2016-01-01,2016-02-29,sensitivity
AK,total,3735,0,300066.0,0,2016,3,2016-03-01,2016-03-01,2016-04-30,sensitivity
AK,total,3823,0,300066.0,0,2016,5,2016-05-01,2016-05-01,2016-06-30,sensitivity
AK,total,3782,0,300066.0,0,2016,7,2016-07-01,2016-07-01,2016-08-31,sensitivity
AK,total,3774,0,300066.0,0,2016,9,2016-09-01,2016-09-01,2016-10-31,sensitivity
AK,total,3549,0,300066.0,0,2016,11,2016-11-01,2016-11-01,2016-12-31,sensitivity
AK,total,3121,0,298346.0,0,2017,1,2017-01-01,2017-01-01,2017-02-28,sensitivity
AK,total,3503,0,298346.0,0,2017,3,2017-03-01,2017-03-01,2017-04-30,sensitivity
AK,total,3554,0,298346.0,0,2017,5,2017-05-01,2017-05-01,2017-06-30,sensitivity
AK,total,3630,0,298346.0,0,2017,7,2017-07-01,2017-07-01,2017-08-31,sensitivity
AK,total,3566,0,298346.0,0,2017,9,2017-09-01,2017-09-01,2017-10-31,sensitivity
AK,total,3291,0,298346.0,0,2017,11,2017-11-01,2017-11-01,2017-12-31,sensitivity
AK,total,3146,0,296672.0,0,2018,1,2018-01-01,2018-01-01,2018-02-28,sensitivity
AK,total,3445,0,296672.0,0,2018,3,2018-03-01,2018-03-01,2018-04-30,sensitivity
AK,total,3467,0,296672.0,0,2018,5,2018-05-01,2018-05-01,2018-06-30,sensitivity
AK,total,3469,0,296672.0,0,2018,7,2018-07-01,2018-07-01,2018-08-31,sensitivity
AK,total,3315,0,296672.0,0,2018,9,2018-09-01,2018-09-01,2018-10-31,sensitivity
AK,total,3157,0,296672.0,0,2018,11,2018-11-01,2018-11-01,2018-12-31,sensitivity
AK,total,3012,0,284728.0,0,2019,1,2019-01-01,2019-01-01,2019-02-28,sensitivity
AK,total,3377,0,284728.0,0,2019,3,2019-03-01,2019-03-01,2019-04-30,sensitivity
AK,total,3232,0,284728.0,0,2019,5,2019-05-01,2019-05-01,2019-06-30,sensitivity
AK,total,3515,0,284728.0,0,2019,7,2019-07-01,2019-07-01,2019-08-31,sensitivity
AK,total,3318,0,284728.0,0,2019,9,2019-09-01,2019-09-01,2019-10-31,sensitivity
AK,total,2955,0,284728.0,0,2019,11,2019-11-01,2019-11-01,2019-12-31,sensitivity
AK,total,3047,0,291328.0,0,2020,1,2020-01-01,2020-01-01,2020-02-29,sensitivity
AK,total,3049,0,291328.0,0,2020,3,2020-03-01,2020-03-01,2020-04-30,sensitivity
AK,total,3262,0,291328.0,0,2020,5,2020-05-01,2020-05-01,2020-06-30,sensitivity
AK,total,3104,0,291328.0,0,2020,7,2020-07-01,2020-07-01,2020-08-31,sensitivity
AK,total,3230,0,291328.0,0,2020,9,2020-09-01,2020-09-01,2020-10-31,sensitivity
AK,total,3112,0,291328.0,0,2020,11,2020-11-01,2020-11-01,2020-12-31,sensitivity
AK,total,2789,0,296658.0,0,2021,1,2021-01-01,2021-01-01,2021-02-28,sensitivity
AK,total,3197,0,296658.0,0,2021,3,2021-03-01,2021-03-01,2021-04-30,sensitivity
AK,total,3227,0,296658.0,0,2021,5,2021-05-01,2021-05-01,2021-06-30,sensitivity
AK,total,3324,0,296658.0,0,2021,7,2021-07-01,2021-07-01,2021-08-31,sensitivity
AK,total,3108,0,296658.0,0,2021,9,2021-09-01,2021-09-01,2021-10-31,sensitivity
AK,total,2829,0,296658.0,0,2021,11,2021-11-01,2021-11-01,2021-12-31,sensitivity
AK,total,2887,0,288878.0,0,2022,1,2022-01-01,2022-01-01,2022-02-28,sensitivity
AK,total,3200,0,288878.0,0,2022,3,2022-03-01,2022-03-01,2022-04-30,sensitivity
AK,total,3188,0,288878.0,0,2022,5,2022-05-01,2022-05-01,2022-06-30,sensitivity
AK,total,3237,0,288878.0,0,2022,7,2022-07-01,2022-07-01,2022-08-31,sensitivity
AK,total,3099,0,288878.0,0,2022,9,2022-09-01,2022-09-01,2022-10-31,sensitivity
AK,total,2929,0,288878.0,0,2022,11,2022-11-01,2022-11-01,2022-12-31,sensitivity
AK,total,2846,0,282470.0,0,2023,1,2023-01-01,2023-01-01,2023-02-28,sensitivity
AK,total,2906,0,282470.0,0,2023,3,2023-03-01,2023-03-01,2023-04-30,sensitivity
AK,total,3033,0,282470.0,0,2023,5,2023-05-01,2023-05-01,2023-06-30,sensitivity
AK,total,2943,0,282470.0,0,2023,7,2023-07-01,2023-07-01,2023-08-31,sensitivity
AK,total,2999,0,282470.0,0,2023,9,2023-09-01,2023-09-01,2023-10-31,sensitivity
AK,total,2970,0,282470.0,0,2023,11,2023-11-01,2023-11-01,2023-12-31,sensitivity
AL,total,19013,0,1904452.0,1,2016,1,2016-01-01,2016-01-01,2016-02-29,sensitivity
AL,total,18663,0,1904452.0,1,2016,3,2016-03-01,2016-03-01,2016-04-30,sensitivity
AL,total,19655,0,1904452.0,1,2016,5,2016-05-01,2016-05-01,2016-06-30,sensitivity
AL,total,20704,0,1904452.0,1,2016,7,2016-07-01,2016-07-01,2016-08-31,sensitivity
AL,total,20405,0,1904452.0,1,2016,9,2016-09-01,2016-09-01,2016-10-31,sensitivity
AL,total,19664,0,1904452.0,1,2016,11,2016-11-01,2016-11-01,2016-12-31,sensitivity
AL,total,18837,0,1912072.0,1,2017,1,2017-01-01,2017-01-01,2017-02-28,sensitivity
AL,total,18340,0,1912072.0,1,2017,3,2017-03-01,2017-03-01,2017-04-30,sensitivity
AL,total,19133,0,1912072.0,1,2017,5,2017-05-01,2017-05-01,2017-06-30,sensitivity
AL,total,21143,0,1912072.0,1,2017,7,2017-07-01,2017-07-01,2017-08-31,sensitivity
AL,total,20502,0,1912072.0,1,2017,9,2017-09-01,2017-09-01,2017-10-31,sensitivity
AL,total,19698,0,1912072.0,1,2017,11,2017-11-01,2017-11-01,2017-12-31,sensitivity
AL,total,18441,0,1905472.0,1,2018,1,2018-01-01,2018-01-01,2018-02-28,sensitivity
AL,total,18243,0,1905472.0,1,2018,3,2018-03-01,2018-03-01,2018-04-30,sensitivity
AL,total,19080,0,1905472.0,1,2018,5,2018-05-01,2018-05-01,2018-06-30,sensitivity
AL,total,20390,0,1905472.0,1,2018,7,2018-07-01,2018-07-01,2018-08-31,sensitivity
AL,total,19604,0,1905472.0,1,2018,9,2018-09-01,2018-09-01,2018-10-31,sensitivity
AL,total,19524,0,1905472.0,1,2018,11,2018-11-01,2018-11-01,2018-12-31,sensitivity
